family,region,level,ownership,gender,is_saudi,n,mae,mape,pinball_p50
FIN,EST,CXO,private,M,True,1,263912.51771,0.9350875830085602,131956.258855
OPS,EST,SVP,semigov,M,True,1,233130.92771,0.9271412848250764,116565.463855
PM,TAB,SVP,private,M,True,1,129881.66771,0.8763821597252778,64940.833855
DATA,RUH,D2,semigov,M,False,1,121824.4867726932,0.658397103530689,60912.2433863466
ENG_MECH,EST,D2,semigov,M,True,1,99388.82684614201,1.941345758681604,49694.413423071004
SWE,MAK,M5,semigov,M,True,1,94824.80771,0.8380804715320301,47412.403855
SALES,JED,M5,pif_backed,M,True,1,92809.22770999999,0.8351437056627101,46404.613854999996
SALES,JED,IC5,private,M,True,1,92799.66600063136,0.7762086021338734,46399.83300031568
LEGAL,MAD,VP,pif_backed,M,True,1,92616.68771,0.8348575847162415,46308.343855
ENG_MECH,RUH,D3,public,M,True,1,92419.2991754936,1.1327299314019532,46209.6495877468
SUPPLY,MAK,M4,pif_backed,F,True,1,91945.10771,0.8338517731697295,45972.553855
FIN,RUH,D1,mnc,M,True,1,90707.14392834305,0.6335344507922402,45353.571964171526
PM,RUH,D2,private,F,True,1,81984.75876129956,0.598613286437863,40992.37938064978
SWE,JED,D1,pif_backed,M,True,1,76794.31612483734,0.6101551968717486,38397.15806241867
FIN,MAK,D3,private,M,True,1,76726.21771,0.8072480806265219,38363.108855
ENG_CIVIL,RUH,D3,private,M,False,1,73805.87418744834,0.5432220098059839,36902.93709372417
SWE,JAZ,D3,pif_backed,M,False,1,72192.45771,0.7975932012107007,36096.228855
DATA,RUH,M1,private,M,True,1,68491.54219576693,0.6817703471691433,34245.771097883466
HEALTH,EST,SVP,private,M,True,1,67984.39771,0.7877242280326869,33992.198855
HEALTH,EST,SVP,mnc,F,True,1,67540.44771,0.7866266404009183,33770.223855
SALES,RUH,SVP,public,F,True,1,64826.2009538821,1.963900078914514,32413.10047694105
ENG_MECH,RUH,CXO,public,M,False,1,64219.1419402685,0.619832451319227,32109.57097013425
HEALTH,TAB,VP,semigov,M,False,1,62429.25487212117,0.6677185600821377,31214.627436060586
PM,HAI,M3,private,M,True,1,62186.490214546706,0.6745629028749967,31093.245107273353
MARKETING,RUH,D2,private,F,True,1,61372.35803425832,0.616702004342757,30686.17901712916
