family,region,level,ownership,gender,is_saudi,n,mae,mape,pinball_p50
FIN,EST,CXO,private,M,True,1,263912.51771,0.9350875830085602,131956.258855
OPS,EST,SVP,semigov,M,True,1,233130.92771,0.9271412848250764,116565.463855
PM,TAB,SVP,private,M,True,1,129881.66771,0.8763821597252778,64940.833855
DATA,RUH,D2,semigov,M,False,1,121533.2342050783,0.6568230370027395,60766.61710253915
ENG_MECH,EST,D2,semigov,M,True,1,116637.14178162761,2.2782542835829553,58318.570890813804
ENG_MECH,RUH,D3,public,M,True,1,111982.39953593412,1.3725035449976652,55991.19976796706
SWE,MAK,M5,semigov,M,True,1,94824.80771,0.8380804715320301,47412.403855
SALES,JED,IC5,private,M,True,1,94092.4380831332,0.7870217963433183,47046.2190415666
FIN,RUH,D1,mnc,M,True,1,93272.13108341032,0.6514493322249355,46636.06554170516
SALES,JED,M5,pif_backed,M,True,1,92809.22770999999,0.8351437056627101,46404.613854999996
LEGAL,MAD,VP,pif_backed,M,True,1,92616.68771,0.8348575847162415,46308.343855
SUPPLY,MAK,M4,pif_backed,F,True,1,91945.10771,0.8338517731697295,45972.553855
PM,RUH,D2,private,F,True,1,83935.94550921192,0.6128599138509229,41967.97275460596
ENG_MECH,RUH,CXO,public,M,False,1,81238.42213124312,0.7840997062488008,40619.21106562156
SALES,RUH,SVP,public,F,True,1,80380.97373855812,2.435129597995151,40190.48686927906
FIN,MAK,D3,private,M,True,1,76726.21771,0.8072480806265219,38363.108855
ENG_CIVIL,RUH,D3,private,M,False,1,75015.04723316291,0.5521216999638169,37507.52361658146
SWE,JED,D1,pif_backed,M,True,1,72936.30721970863,0.5795020925558626,36468.153609854315
SWE,JAZ,D3,pif_backed,M,False,1,72192.45771,0.7975932012107007,36096.228855
DATA,RUH,M1,private,M,True,1,70839.7755415981,0.7051448517006009,35419.88777079905
HEALTH,EST,SVP,private,M,True,1,67984.39771,0.7877242280326869,33992.198855
HEALTH,EST,SVP,mnc,F,True,1,67540.44771,0.7866266404009183,33770.223855
HEALTH,TAB,VP,semigov,M,False,1,66963.7135661014,0.7162173325902891,33481.8567830507
DATA,RUH,D3,private,M,False,2,64527.461631279715,0.4858071364853179,32263.730815639858
