family,region,level,ownership,gender,is_saudi,n,mae,mape,pinball_p50
FIN,EST,CXO,private,M,True,1,107449.64812696626,0.747065290277749,53724.82406348313
OPS,EST,SVP,semigov,M,True,1,88219.17642061882,0.688446646156458,44109.58821030941
FIN,RUH,D1,mnc,M,True,1,47912.697745734564,0.6566601014050637,23956.348872867282
PM,RUH,D2,private,F,True,1,46892.14782444504,0.5888819528077053,23446.07391222252
SUPPLY,MAK,M4,pif_backed,F,True,1,44644.1402255805,0.6963692491846569,22322.07011279025
PM,TAB,SVP,private,M,True,1,37976.10408794377,0.5028255553241958,18988.052043971886
MARKETING,RUH,D2,private,F,True,1,35902.50534133149,0.6205005861942728,17951.252670665745
PM,EST,VP,private,M,True,1,35496.917264094576,0.441273740023917,17748.458632047288
SWE,JED,D1,pif_backed,M,True,1,35403.813732271956,0.5519789877218666,17701.906866135978
DATA,RUH,M1,private,M,True,1,34874.662596085385,0.681196548388929,17437.331298042693
SWE,MAK,M5,semigov,M,True,1,33208.964745217585,0.5759441198260818,16604.482372608793
SWE,RUH,VP,private,M,True,1,32710.097643357323,0.46986923983676454,16355.048821678662
SALES,JED,M5,pif_backed,M,True,1,31528.081607454573,0.5567097924530217,15764.040803727286
ENG_MECH,EST,M3,public,M,True,1,29237.705898395125,0.5732694782363462,14618.852949197562
ENG_ELEC,RUH,SVP,mnc,M,True,1,27794.80743108457,0.410584116512427,13897.403715542285
SWE,QAS,M2,public,M,True,1,27632.72551390381,0.69965854018994,13816.362756951905
PM,HAI,M3,private,M,True,1,27122.489789116462,0.577320824525855,13561.244894558231
HEALTH,RUH,M5,mnc,F,True,1,27080.504927724607,0.5178011338298445,13540.252463862304
SALES,JED,IC5,private,M,True,2,26583.64057516643,0.5535132809868346,13291.820287583216
FIN,RUH,M2,pif_backed,F,True,1,25547.615297681605,0.5862771263496269,12773.807648840802
DATA,EST,M1,mnc,M,True,1,24869.031121765613,0.6186188717765613,12434.515560882806
EDU,JED,D2,private,M,True,1,24679.25395842768,0.6413617037858205,12339.62697921384
SWE,ASR,M4,semigov,M,True,1,24356.819542951365,0.6119538669904881,12178.409771475683
EDU,JED,VP,private,F,True,1,23691.790580290402,0.589216802683044,11845.895290145201
HEALTH,EST,SVP,mnc,F,True,1,22856.049929696645,0.45784743137751094,11428.024964848322
SALES,RUH,M3,private,M,True,1,22830.783479618636,0.5550606195989365,11415.391739809318
MARKETING,NJR,M4,private,F,True,1,22253.035130906406,0.5567334270098935,11126.517565453203
LEGAL,RUH,IC5,mnc,F,True,1,22241.284318791353,0.5509602522911127,11120.642159395677
SALES,RUH,M2,private,F,True,1,21841.406896792432,0.556242232671947,10920.703448396216
SWE,RUH,IC6,public,M,True,1,20652.344557246513,0.49052749754420083,10326.172278623257
PM,RUH,M4,semigov,M,True,1,20621.38377807436,0.43268221235100013,10310.69188903718
ENG_CIVIL,RUH,M2,pif_backed,M,True,1,20575.6211492852,0.6448983307304235,10287.8105746426
ENG_MECH,RUH,IC4,semigov,M,True,2,20513.189598019795,0.45782491381147566,10256.594799009898
OPS,RUH,IC5,private,F,True,1,20404.853154974502,0.5449519124727381,10202.426577487251
SWE,QAS,M1,semigov,M,True,1,19651.863606360937,0.6559785137616337,9825.931803180469
SWE,RUH,D1,mnc,M,True,2,19255.190200739366,0.3327304309179269,9627.595100369683
HEALTH,RUH,VP,public,F,True,1,19002.17962155787,0.40422422035472155,9501.089810778934
EDU,JED,VP,private,M,True,1,18572.17181498197,0.5266234870151012,9286.085907490986
LEGAL,EST,SVP,private,M,True,1,18448.2242416624,0.29006655722636093,9224.1121208312
SWE,RUH,M3,pif_backed,F,True,1,18340.324922849424,0.40866305407279924,9170.162461424712
CUSTOMER,JED,D1,mnc,M,True,1,18186.848029616962,0.6508986399198062,9093.424014808481
DESIGN,RUH,IC3,mnc,F,True,1,18165.486310434557,0.6470838595479698,9082.743155217278
DATA,EST,D2,pif_backed,M,True,1,17997.10500194257,0.3578914827864563,8998.552500971286
DATA,RUH,D2,semigov,M,False,1,17908.157775369807,0.6786393397187623,8954.078887684904
ENG_ELEC,RUH,IC5,semigov,M,True,1,17443.586208930305,0.5679921395913232,8721.793104465152
HEALTH,RUH,D2,pif_backed,F,True,1,16969.589206255696,0.40671668443850784,8484.794603127848
FIN,EST,IC6,private,F,True,1,16874.235277141066,0.5522343032937139,8437.117638570533
DESIGN,TAB,M4,mnc,M,True,1,16840.37487413753,0.4424821917811623,8420.187437068766
DATA,MAK,M4,semigov,M,True,1,16594.96424635445,0.4427295298892693,8297.482123177226
ENG_MECH,JED,D1,private,M,True,1,16515.690332151124,0.4031925287638982,8257.845166075562
HEALTH,EST,D1,private,F,True,2,16488.493679634492,0.458043706926396,8244.246839817246
ENG_ELEC,RUH,M1,mnc,M,True,1,16361.275638356528,0.6554422922440413,8180.637819178264
SALES,RUH,M2,semigov,M,True,1,16349.008555694247,0.5171006490972734,8174.504277847123
SALES,JED,IC3,mnc,F,True,1,16341.10434723634,0.6253635904492809,8170.55217361817
FIN,JED,D3,startup,M,True,1,16038.821473425663,1.367571082360414,8019.410736712832
PM,EST,IC6,private,F,True,1,16017.315232084668,0.5264739269186439,8008.657616042334
ENG_MECH,JED,IC5,private,M,True,1,16004.685099072269,0.5260606406080501,8002.342549536134
FIN,EST,M1,semigov,M,True,1,15994.10644506223,0.5298529879903201,7997.053222531115
SWE,RUH,M3,public,M,True,1,15626.952260350809,0.44521084772022346,7813.476130175404
LEGAL,MAD,VP,pif_backed,M,True,1,15615.285982264366,0.27620679312554697,7807.642991132183
FIN,EST,M2,semigov,M,True,1,15614.848901737216,0.4454565052959078,7807.424450868608
HR,RUH,VP,pif_backed,M,True,1,15579.189316619879,0.31096465313329963,7789.594658309939
PM,EST,IC5,public,F,True,1,15523.383632031178,0.558285660405271,7761.691816015589
SALES,TAB,M3,mnc,F,True,1,15388.547588960006,0.4311292930357014,7694.273794480003
ENG_ELEC,RUH,M3,semigov,M,True,1,15204.320791753351,0.4733492965153108,7602.1603958766755
FIN,MAK,VP,semigov,M,True,1,15201.204927323597,0.7028629542422323,7600.6024636617985
ENG_CIVIL,RUH,VP,startup,M,True,1,15038.486087897712,0.3912509076106965,7519.243043948856
MARKETING,RUH,IC5,private,M,True,1,15024.19817530013,0.49574425869926564,7512.099087650065
ENG_CIVIL,TAB,D1,private,M,True,1,14994.703414115382,0.557232490923424,7497.351707057691
OPS,RUH,D1,startup,M,True,1,14793.562340335156,0.6060416937109828,7396.781170167578
FIN,MAK,IC4,pif_backed,F,True,1,14720.355921417828,0.569469518973046,7360.177960708914
ENG_CIVIL,RUH,D2,private,M,True,1,14518.776748426575,0.4533480510902188,7259.3883742132875
ENG_CIVIL,RUH,M5,private,M,True,1,14382.362540909944,0.45700422057255,7191.181270454972
FIN,JED,D1,private,F,True,1,14365.293971795065,0.4207722202804742,7182.646985897532
ENG_MECH,RUH,M3,private,M,True,2,14020.266142188875,0.4199858802142159,7010.133071094438
DATA,JED,M3,private,M,True,1,13998.813712747935,0.4839529548561336,6999.4068563739675
PM,RUH,D1,public,M,True,1,13948.857990939934,0.37964798024952073,6974.428995469967
PM,JED,M1,semigov,M,True,1,13752.119826544718,0.48069332702773465,6876.059913272359
ENG_MECH,RUH,D3,public,M,True,1,13595.955732578732,0.3269901786979604,6797.977866289366
SWE,RUH,IC4,semigov,M,True,1,13495.978194619835,0.470197329647019,6747.989097309917
DESIGN,RUH,M2,public,F,True,1,13492.27935111204,0.4396349796034054,6746.13967555602
SWE,TAB,M5,private,M,True,1,13459.330128855203,1.1804903064133236,6729.6650644276015
CUSTOMER,MAD,IC6,mnc,F,True,1,13420.962396610874,0.5647250672749932,6710.481198305437
HEALTH,EST,SVP,private,M,True,1,13184.913926223158,0.2997805892941885,6592.456963111579
SWE,RUH,D1,startup,M,True,1,13175.070149362966,0.9576721750199074,6587.535074681483
DATA,JAZ,M2,private,M,True,1,13163.35666240071,0.5687828252147552,6581.678331200355
OPS,RUH,VP,pif_backed,F,True,1,13132.831430209953,0.3056140315694552,6566.415715104977
DATA,ASR,IC5,public,M,True,1,12898.402938775165,0.5454562717873365,6449.201469387583
OPS,RUH,M3,startup,F,True,1,12892.822643419251,0.5323396012565201,6446.411321709626
DATA,HAI,IC6,private,M,True,1,12885.716348079375,0.4431601152636422,6442.858174039688
SWE,RUH,M3,private,M,True,2,12816.101387738989,0.30101361588371917,6408.050693869494
ENG_CIVIL,RUH,IC3,private,M,True,1,12713.384975630066,0.6132094627343799,6356.692487815033
CUSTOMER,RUH,M3,private,M,True,1,12682.252575003226,0.506718610915571,6341.126287501613
FIN,RUH,IC6,mnc,M,True,1,12679.351656537958,0.39018389306994405,6339.675828268979
HEALTH,RUH,M4,private,F,True,1,12663.764407207293,0.44015774810483116,6331.882203603646
OPS,RUH,D1,private,M,True,1,12630.131596227318,0.3665951560337422,6315.065798113659
MARKETING,RUH,D3,private,F,True,1,12520.53557180665,0.2762260478163917,6260.267785903325
ENG_CIVIL,RUH,VP,private,M,True,1,12456.839956467955,0.8513037075362025,6228.419978233977
SWE,MAD,IC6,private,F,True,1,12455.838881160267,0.4214393081838656,6227.919440580134
OPS,EST,M3,pif_backed,M,True,1,12455.641832570025,0.4890801588868836,6227.820916285013
MARKETING,MAK,IC4,private,F,True,1,12275.768957221262,0.6666749882678142,6137.884478610631
ENG_MECH,MAK,IC6,public,M,True,1,12268.112112018354,0.45866963458959903,6134.056056009177
SWE,JAZ,M3,private,M,True,1,12228.45815785383,0.5589887037711925,6114.229078926915
ENG_CIVIL,QAS,M3,mnc,M,True,1,12212.386243140882,0.48917093777152343,6106.193121570441
SALES,QAS,IC6,pif_backed,F,True,1,12157.649065342806,0.4468604412917451,6078.824532671403
DESIGN,MAD,M2,private,F,True,1,12101.457193117258,0.5801443617299801,6050.728596558629
SALES,TAB,IC5,semigov,F,True,2,12084.5220327993,0.38367757844867995,6042.26101639965
HEALTH,JED,IC4,semigov,F,True,1,11902.75261181595,0.5727222829757029,5951.376305907975
ENG_ELEC,EST,M2,pif_backed,M,True,1,11800.117929094007,0.443357719943353,5900.058964547004
OPS,EST,IC6,semigov,M,True,1,11549.899451788518,0.5594137820133045,5774.949725894259
PM,QAS,M2,semigov,M,True,2,11541.573833150547,0.5161383951389602,5770.786916575274
SWE,EST,IC6,private,M,True,1,11534.36432863638,0.8368563561063006,5767.18216431819
ENG_ELEC,RUH,D2,private,M,True,1,11399.108228358491,0.8283281688639319,5699.5541141792455
FIN,EST,IC4,public,M,True,2,11259.12688427094,0.44558575256964406,5629.56344213547
FIN,RUH,VP,mnc,F,True,1,11232.320824553572,0.20047650715023713,5616.160412276786
OPS,ASR,M1,pif_backed,F,True,1,11216.635816269252,0.6266525109987817,5608.317908134626
HR,BAH,M3,semigov,F,True,1,11080.84689760548,2.3752917016710877,5540.42344880274
LEGAL,EST,M2,private,F,True,1,11034.330296442819,0.3999584350713038,5517.165148221409
SWE,EST,D1,private,F,True,1,10995.200300481827,0.9829766837926349,5497.6001502409135
FIN,JED,D2,private,F,True,1,10842.260348516094,0.6242660179351798,5421.130174258047
EDU,EST,M3,private,F,True,1,10826.817503063789,0.46488742983208386,5413.408751531894
MARKETING,RUH,VP,public,F,True,1,10821.025764811242,0.9087332212183525,5410.512882405621
CUSTOMER,JED,IC6,pif_backed,M,True,1,10715.052103629423,0.5198902203373909,5357.5260518147115
DATA,EST,IC6,semigov,F,True,1,10608.729797641296,0.33900273078228005,5304.364898820648
PM,RUH,IC4,public,M,True,1,10542.747976697485,0.5290039548413606,5271.373988348742
ENG_ELEC,EST,M3,pif_backed,M,True,1,10525.136134524542,0.31717498945106304,5262.568067262271
FIN,ASR,IC5,private,F,True,1,10363.720478955252,0.49220136267588255,5181.860239477626
PM,JED,IC5,public,F,True,1,10349.69314202253,0.47606815101707706,5174.846571011265
PM,RUH,M4,public,M,True,3,10342.379249800186,0.491493352040854,5171.189624900093
HR,RUH,IC4,private,M,True,2,10323.28756844595,0.537396819851894,5161.643784222975
FIN,RUH,M3,private,M,True,1,10309.169946355838,1.304441740078363,5154.584973177919
ENG_ELEC,RUH,D3,public,M,True,1,10281.06102538377,0.5992311649213135,5140.530512691885
HEALTH,JAZ,IC6,public,M,True,1,10163.09865284264,0.5718288833918976,5081.54932642132
